RT_title,RT_aud_score,RT_crit_score,RT_mpaa_rating,RT_runtime,RT_year,num_title,num_month,num_day,num_year,num_budget,num_gross
Righteous Kill,38,19,R,103,2008,Righteous Kill,9,12,2008,60000000,40081410
State of Play,73,84,PG-13,127,2009,State of Play,4,17,2009,60000000,37017955
My Favorite Martian,31,12,PG,93,1999,My Favorite Martian,2,12,1999,60000000,36850101
The Sentinel,40,33,PG-13,99,2006,The Sentinel,4,21,2006,60000000,36280697
Intolerable Cruelty,48,75,PG-13,100,2003,Intolerable Cruelty,10,10,2003,60000000,35327628
The Relic,34,31,R,109,1997,The Relic,1,10,1997,60000000,33956608
Mercury Rising,41,17,R,112,1998,Mercury Rising,4,3,1998,60000000,32983332
Almost Famous,92,88,R,123,2000,Almost Famous,9,15,2000,60000000,32522352
Analyze That,40,27,R,95,2002,Analyze That,12,6,2002,60000000,32122249
The Soloist,57,56,PG-13,117,2008,The Soloist,4,24,2009,60000000,31720158
The Mortal Instruments: City of Bones,61,12,PG-13,130,2013,The Mortal Instruments City of Bones,8,21,2013,60000000,31165421
The Legend of Bagger Vance,66,43,PG-13,127,2000,The Legend of Bagger Vance,11,3,2000,60000000,30695227
Dragonfly,63,7,PG-13,103,2002,Dragonfly,2,22,2002,60000000,30063805
Priest,46,16,PG-13,83,2011,Priest,5,13,2011,60000000,29136626
xXx: State of the Union,33,16,R,101,2005,XXX State of the Union,4,29,2005,60000000,26873932
Event Horizon,63,24,R,95,1997,Event Horizon,8,15,1997,60000000,26673242
Sinbad - Legend of the Seven Seas,57,45,PG,86,2003,Sinbad Legend of the Seven Seas,7,2,2003,60000000,26483452
Dark Water,28,46,PG-13,105,2005,Dark Water,7,8,2005,60000000,25473093
The Avengers,15,16,PG-13,90,1998,The Avengers,8,14,1998,60000000,23385416
The Black Dahlia,27,32,R,121,2006,The Black Dahlia,9,15,2006,60000000,22672813
EdTV,29,64,PG-13,124,1999,EDtv,3,26,1999,60000000,22508689
The Last Castle,75,52,R,131,2001,The Last Castle,10,19,2001,60000000,18208078
Inkheart,46,39,PG,106,2008,Inkheart,1,23,2009,60000000,17303424
Supernova,16,10,PG-13,90,2000,Supernova,1,14,2000,60000000,14218868
Flyboys,68,33,PG-13,139,2006,Flyboys,9,22,2006,60000000,13090630
Holy Man,24,12,PG,120,1998,Holy Man,10,9,1998,60000000,12069719
Meet Dave,36,19,PG,90,2008,Meet Dave,7,11,2008,60000000,11803254
The Great Raid,72,37,R,132,2005,The Great Raid,8,12,2005,60000000,10166502
Beyond Borders,73,14,R,127,2003,Beyond Borders,10,24,2003,60000000,4426297
Rambo III,46,36,R,102,1988,Rambo III,5,25,1988,58000000,53715611
Sabrina,65,65,PG,127,1995,Sabrina,12,15,1995,58000000,53458319
Red Tails,58,40,PG-13,120,2012,Red Tails,1,20,2012,58000000,49876377
Just Like Heaven,75,56,PG-13,95,2005,Just Like Heaven,9,16,2005,58000000,48318130
The Internship,54,34,PG-13,119,2013,The Internship,6,7,2013,58000000,44672764
The Flintstones in Viva Rock Vegas,20,25,PG,90,2000,The Flintstones in Viva Rock Vegas,4,28,2000,58000000,35231365
Leatherheads,38,52,PG-13,114,2008,Leatherheads,4,4,2008,58000000,31373938
Did You Hear About the Morgans?,27,12,PG-13,104,2009,Did You Hear About the Morgans,12,18,2009,58000000,29580087
Sex and the City,77,49,R,142,2008,Sex and the City,5,30,2008,57500000,152647258
Resident Evil: Afterlife,49,23,R,97,2010,Resident Evil Afterlife 3D,9,10,2010,57500000,60128566
The Devil's Advocate,80,66,R,130,1997,Devils Advocate,10,17,1997,57000000,61007424
Dragonheart: 2 Legendary Tales,43,-1,PG,185,1996,Dragonheart,5,31,1996,57000000,51364680
After the Sunset,53,18,PG-13,100,2004,After the Sunset,11,12,2004,57000000,28328132
Captain Corelli's Mandolin,51,29,R,127,2001,Captain Corellis Mandolin,8,17,2001,57000000,25528495
Anger Management,61,43,PG-13,106,2003,Anger Management,4,11,2003,56000000,135560942
The Pacifier,59,20,PG,95,2005,The Pacifier,3,4,2005,56000000,113006880
Walking Tall,61,25,PG-13,86,2004,Walking Tall,4,2,2004,56000000,46213824
Forrest Gump,95,72,PG-13,142,1994,Forrest Gump,7,6,1994,55000000,329694499
Alvin and the Chipmunks,65,27,PG,91,2007,Alvin and the Chipmunks,12,14,2007,55000000,217326974
Hitch,62,69,PG-13,120,2005,Hitch,2,11,2005,55000000,177784257
Meet the Parents,79,84,PG-13,2,2000,Meet the Parents,10,6,2000,55000000,166225040
The Pursuit of Happyness,87,67,PG-13,117,2006,The Pursuit of Happyness,12,15,2006,55000000,162586036
Pocahontas,64,56,G,55,1996,Pocahontas,6,10,1995,55000000,141579773
The Nutty Professor,44,65,PG-13,95,1996,The Nutty Professor,6,28,1996,55000000,128814019
Captain Phillips,91,93,PG-13,134,2013,Captain Phillips,10,11,2013,55000000,106624781
George of the Jungle,41,56,PG,91,1997,George Of The Jungle,7,16,1997,55000000,105263257
American Wedding,64,55,R,97,2003,American Wedding,8,1,2003,55000000,104354205
Casper,50,44,PG,100,1995,Casper,5,26,1995,55000000,100328194
Date Night,55,67,PG-13,107,2010,Date Night,4,9,2010,55000000,98711404
Maid in Manhattan,44,39,PG-13,105,2002,Maid in Manhattan,12,13,2002,55000000,93932896
Crimson Tide,83,87,R,115,1995,Crimson Tide,5,12,1995,55000000,91387195
Flightplan,48,38,PG-13,98,2005,Flightplan,9,23,2005,55000000,89706988
City of Angels,83,58,PG-13,116,1998,City of Angels,4,10,1998,55000000,78750909
RV,46,23,PG,99,2006,RV,4,28,2006,55000000,71724497
Stargate,74,48,PG-13,125,1994,Stargate,10,28,1994,55000000,71565669
Kill Bill: Volume 1,80,85,R,111,2003,Kill Bill Volume 1,10,10,2003,55000000,70098138
Bowfinger,60,80,PG-13,97,1999,Bowfinger,8,13,1999,55000000,66458769
"Kill Bill, Volume 2",89,84,R,137,2004,Kill Bill Volume 2,4,16,2004,55000000,66207920
Tango & Cash,52,39,R,98,1989,Tango  Cash,12,22,1989,55000000,63408614
Death Becomes Her,61,43,PG-13,103,1992,Death Becomes Her,7,31,1992,55000000,58422650
Shanghai Noon,65,79,PG-13,110,2000,Shanghai Noon,5,26,2000,55000000,56932305
Executive Decision,53,63,R,134,1996,Executive Decision,3,15,1996,55000000,56679192
Free Birds,47,18,PG,90,2013,Free Birds,11,1,2013,55000000,55533067
The Forbidden Kingdom,60,64,PG-13,104,2008,The Forbidden Kingdom,4,18,2008,55000000,52075270
The Phantom of the Opera,85,33,PG-13,143,2005,The Phantom of the Opera,12,22,2004,55000000,51225796
Evita,69,64,PG,134,1996,Evita,12,25,1996,55000000,50047179
Ronin,80,68,R,118,1998,Ronin,9,25,1998,55000000,41610884
Burlesque,64,37,PG-13,119,2010,Burlesque,11,24,2010,55000000,39440655
The Ghost and the Darkness,73,50,R,109,1996,The Ghost and the Darkness,10,11,1996,55000000,38564422
Changeling,82,62,R,141,2008,Changeling,10,24,2008,55000000,35739802
The Watch,40,17,R,101,2012,The Watch,7,27,2012,55000000,34353000
The Hunted,47,30,R,94,2003,The Hunted,3,14,2003,55000000,34234008
Instinct,68,27,R,123,1999,Instinct,6,4,1999,55000000,34105207
Stuck On You,35,60,PG-13,119,2003,Stuck On You,12,12,2003,55000000,33832741
The Pirates! Band of Misfits,60,86,PG,87,2012,The Pirates Band of Misfits,4,27,2012,55000000,31051126
Aeon Flux,40,10,PG-13,92,2005,Aeon Flux,12,2,2005,55000000,25857987
Chain Reaction,27,16,PG-13,106,1996,Chain Reaction,8,2,1996,55000000,21226204
The Fan,35,38,R,116,1996,The Fan,8,16,1996,55000000,18582965
Imagine That,41,40,PG,107,2009,Imagine That,6,12,2009,55000000,16123323
Gods and Generals,64,8,PG-13,229,2003,Gods and Generals,2,21,2003,55000000,12882934
Turbulence,18,17,R,100,1997,Turbulence,1,10,1997,55000000,11532774
Bullet to the Head,41,46,R,91,2013,Bullet to the Head,2,1,2013,55000000,9489829
All The King's Men,40,11,PG-13,128,2006,All the Kings Men,9,22,2006,55000000,7221458
Thunderbirds,36,19,PG,95,2004,Thunderbirds,7,30,2004,55000000,6768055
A Very Long Engagement,85,78,R,133,2004,A Very Long Engagement,11,26,2004,55000000,6167817
Lucky You,28,29,PG-13,124,2007,Lucky You,5,4,2007,55000000,5755286
Lolita,76,67,R,137,1997,Lolita,7,22,1998,55000000,1147784
D-Tox (Eye See You),28,15,R,96,2002,Eye See You,9,20,2002,55000000,79161
Superman II,75,89,PG,127,1981,Superman II,6,19,1981,54000000,108185706
Blade II,68,59,R,116,2002,Blade 2,3,22,2002,54000000,81676888
"You, Me and Dupree",50,21,PG-13,109,2006,You Me and Dupree,7,14,2006,54000000,75802010
Seven Pounds,75,27,PG-13,123,2008,Seven Pounds,12,19,2008,54000000,69951824
"The Godfather, Part III",78,68,R,170,1990,The Godfather Part III,12,25,1990,54000000,66520529
Elizabethtown,66,28,PG-13,123,2005,Elizabethtown,10,14,2005,54000000,26850426
Gigli,13,6,R,121,2003,Gigli,8,1,2003,54000000,6087542
Shaft,41,68,R,98,2000,Shaft,6,16,2000,53012938,70327868
The Dukes of Hazzard,47,13,PG-13,104,2005,The Dukes of Hazzard,8,5,2005,53000000,80270227
Law Abiding Citizen,75,25,R,109,2009,Law Abiding Citizen,10,16,2009,53000000,73357727
Anastasia,77,86,G,50,1997,Anastasia,11,14,1997,53000000,58403409
Moulin Rouge!,90,76,PG-13,126,2001,Moulin Rouge,5,18,2001,53000000,57386369
Domestic Disturbance,38,23,PG-13,89,2001,Domestic Disturbance,11,2,2001,53000000,45207112
Flags of Our Fathers,69,73,R,131,2006,Flags of Our Fathers,10,20,2006,53000000,33602376
Grindhouse,87,83,R,192,2007,Grindhouse,4,6,2007,53000000,25031037
Beloved,72,78,R,98,1998,Beloved,10,16,1998,53000000,22852487
Zero Dark Thirty,80,93,R,157,2012,Zero Dark Thirty,12,19,2012,52500000,95720716
Catch Me If You Can,89,96,PG-13,140,2002,Catch Me if You Can,12,25,2002,52000000,164606800
The Art of Breaking Up (Un Fil a la Patte),42,-1,Unrated,78,2005,The Break Up,6,2,2006,52000000,118806699
Valentine's Day,48,18,PG-13,123,2010,Valentines Day,2,12,2010,52000000,110485654
Casino,93,80,R,182,1995,Casino,11,22,1995,52000000,42438300
The Change-Up,48,25,R,113,2011,The ChangeUp,8,5,2011,52000000,37081475
The Thin Red Line,80,79,R,180,1998,The Thin Red Line,12,23,1998,52000000,36400491
Man on the Moon,79,63,R,118,1999,Man on the Moon,12,22,1999,52000000,34580635
From Paris with Love,54,37,R,92,2010,From Paris With Love,2,5,2010,52000000,24077427
Bulletproof Monk,38,23,PG-13,104,2003,Bulletproof Monk,4,16,2003,52000000,23010607
"Me, Myself & Irene",57,48,R,117,2000,Me Myself  Irene,6,23,2000,51000000,90570999
The Adjustment Bureau,67,72,PG-13,99,2011,The Adjustment Bureau,3,4,2011,50200000,62495645
The Twilight Saga: New Moon,61,28,PG-13,130,2009,The Twilight Saga New Moon,11,20,2009,50000000,296623634
Shrek,90,88,PG,93,2001,Shrek,5,18,2001,50000000,267655011
Ted,74,68,R,115,2012,Ted,6,29,2012,50000000,218665740
Robin Hood: Prince of Thieves,73,59,PG-13,155,1991,Robin Hood Prince of Thieves,6,14,1991,50000000,165493908
Jerry Maguire,79,85,R,138,1996,Jerry Maguire,12,13,1996,50000000,153952592
As Good As It Gets,87,86,PG-13,139,1997,As Good as it Gets,12,24,1997,50000000,148478011
Patch Adams,75,23,PG-13,2,1998,Patch Adams,12,25,1998,50000000,135041968
Super 8,75,82,PG-13,112,2011,Super 8,6,9,2011,50000000,127004179
Mr. Deeds,60,22,PG-13,96,2002,Mr Deeds,6,28,2002,50000000,126293452
Erin Brockovich,80,84,R,131,2000,Erin Brockovich,3,17,2000,50000000,125548685
How to Lose a Guy in 10 Days,78,42,PG-13,115,2003,How to Lose a Guy in 10 Days,2,7,2003,50000000,105807520
Yes Man,66,45,PG-13,104,2008,Yes Man,12,19,2008,50000000,97690976
Stepmom,75,44,PG-13,125,1998,Stepmom,12,25,1998,50000000,91137662
Planes,50,26,PG,92,2013,Planes,8,9,2013,50000000,90282580
Failure to Launch,53,24,PG-13,96,2006,Failure to Launch,3,10,2006,50000000,88715192
Inside Man,86,86,R,129,2006,Inside Man,3,24,2006,50000000,88634237
"Crazy, Stupid, Love.",77,78,PG-13,118,2011,Crazy Stupid Love,7,29,2011,50000000,84351197
Payback,70,54,R,100,1999,Payback,2,5,1999,50000000,81526121
Congo,29,21,PG-13,108,1995,Congo,6,9,1995,50000000,81022333
Knowing,42,33,PG-13,121,2009,Knowing,3,20,2009,50000000,79957634
The Ring Two,34,20,PG-13,110,2005,The Ring Two,3,18,2005,50000000,75941727
We Bought a Zoo,72,66,PG,126,2011,We Bought a Zoo,11,26,2011,50000000,75624550
Moneyball,86,94,PG-13,133,2011,Moneyball,9,23,2011,50000000,75605492
Garfield - The Movie,38,15,PG,81,2004,Garfield,6,11,2004,50000000,75367693
Christmas with the Kranks,37,5,PG,94,2004,Christmas with the Kranks,11,24,2004,50000000,73701902
V for Vendetta,90,73,R,145,2006,V for Vendetta,3,17,2006,50000000,70511035
Outbreak,56,59,R,122,1995,Outbreak,3,10,1995,50000000,67823573
The Forgotten,36,31,PG-13,91,2004,The Forgotten,9,24,2004,50000000,66711892
Herbie: Fully Loaded,39,42,G,100,2005,Herbie Fully Loaded,6,22,2005,50000000,66010682
Shanghai Knights,54,66,PG-13,114,2003,Shanghai Knights,2,7,2003,50000000,60470220
Curious George,70,69,G,82,2006,Curious George,2,10,2006,50000000,58640119
American Reunion,63,44,R,110,2012,American Reunion,4,6,2012,50000000,56758835
Hansel and Gretel: Witch Hunters,54,15,R,87,2013,Hansel  Gretel Witch Hunters,1,25,2013,50000000,55703475
Don't Say a Word,50,24,R,110,2001,Dont Say a Word,9,28,2001,50000000,54997476
Unfaithful,69,49,R,124,2002,Unfaithful,5,8,2002,50000000,52752475
Syriana,68,72,R,128,2005,Syriana,11,23,2005,50000000,50824620
Resident Evil - Apocalypse,61,21,R,94,2004,Resident Evil Apocalypse,9,10,2004,50000000,50740078
Absolute Power,52,45,R,125,1997,Absolute Power,2,14,1997,50000000,50068310
The Game,85,71,R,128,1997,The Game,9,12,1997,50000000,48265581
G.I. Jane,54,55,R,124,1997,GI Jane,8,22,1997,50000000,48169156
Silent Hill,63,29,R,125,2006,Silent Hill,4,21,2006,50000000,46982632
The Replacements,67,40,PG-13,118,2000,The Replacements,8,11,2000,50000000,44737059
The Negotiator,79,75,R,141,1998,The Negotiator,7,29,1998,50000000,44705766
Beverly Hills Cop III,36,10,R,109,1994,Beverly Hills Cop III,5,25,1994,50000000,42586861
Gremlins 2: The New Batch,57,69,PG-13,107,1990,Gremlins 2 The New Batch,6,15,1990,50000000,41476097
The Peacemaker,40,41,R,124,1997,The Peacemaker,9,26,1997,50000000,41263140
Out of Time,59,65,PG-13,114,2003,Out of Time,10,3,2003,50000000,41083108
Bridget Jones - The Edge of Reason,61,27,R,107,2004,Bridget Jones The Edge Of Reason,11,12,2004,50000000,40203020
The Beach,58,19,R,120,2000,The Beach,2,11,2000,50000000,39778599
The Adventures of Sharkboy and Lavagirl in 3-D,32,20,PG,92,2005,The Adventures of Sharkboy and Lavagirl in 3D,6,10,2005,50000000,39177684
On Deadly Ground,35,0,R,101,1994,On Deadly Ground,2,18,1994,50000000,38590458
Ninja Assassin,54,26,R,99,2009,Ninja Assassin,11,25,2009,50000000,38122883
Raising Helen,62,23,PG-13,119,2004,Raising Helen,5,28,2004,50000000,37485528
For Love of the Game,77,54,PG-13,138,1999,For Love of the Game,9,17,1999,50000000,35188640
Jack Frost,40,20,PG,101,1998,Jack Frost,12,11,1998,50000000,34645374
Marmaduke,42,9,PG,88,2010,Marmaduke,6,4,2010,50000000,33644788
Striptease,24,11,R,115,1996,Striptease,6,28,1996,50000000,33109743
Hereafter,38,46,PG-13,126,2010,Hereafter,10,15,2010,50000000,32746941
Murder by Numbers,50,31,R,121,2002,Murder by Numbers,4,19,2002,50000000,31874869
Assassins,45,16,R,105,1995,Assassins,10,6,1995,50000000,30306268
Defiance,73,57,R,137,2008,Defiance,12,31,2008,50000000,28644813
Hannibal Rising,56,15,R,121,2007,Hannibal Rising,2,9,2007,50000000,27669725
The Story of Us,59,28,R,94,1999,The Story of Us,10,15,1999,50000000,27100030
The Host,50,8,PG-13,126,2013,The Host,3,29,2013,50000000,26623701
Basic,65,21,R,98,2003,Basic,3,28,2003,50000000,26599248
Blood Work,40,53,R,111,2002,Blood Work,8,9,2002,50000000,26199517
The International,37,59,R,118,2009,The International,2,13,2009,50000000,25450527
Escape from L.A.,40,53,R,100,1996,Escape from LA,8,9,1996,50000000,25426861
Twisted,32,1,R,96,2004,Twisted,2,27,2004,50000000,25195050
The Life Aquatic with Steve Zissou,83,53,R,118,2004,The Life Aquatic with Steve Zissou,12,10,2004,50000000,24006726
The Iron Giant,89,97,PG,86,1999,The Iron Giant,8,4,1999,50000000,23159305
Dream House,36,6,PG-13,92,2011,Dream House,9,30,2011,50000000,21302340
Man of the House,47,8,PG-13,100,2005,Man of the House,2,25,2005,50000000,19699706
The Life of David Gale,82,19,R,130,2003,The Life of David Gale,2,21,2003,50000000,19694635
Beautiful Creatures,55,46,PG-13,124,2013,Beautiful Creatures,2,14,2013,50000000,19452138
Into the Blue,58,21,PG-13,110,2005,Into the Blue,9,30,2005,50000000,18782227
Eastern Promises,83,89,R,101,2007,Eastern Promises,9,14,2007,50000000,17181265
Baby's Day Out,52,21,PG,99,1994,Babys Day Out,7,1,1994,50000000,16581575
The Messenger: The Story of Joan of Arc,59,30,R,148,1999,The Messenger The Story of Joan of Arc,11,12,1999,50000000,14271297
Fair Game,14,13,R,91,1995,Fair Game,11,3,1995,50000000,11497497
Drive Angry,37,45,R,107,2011,Drive Angry,2,25,2011,50000000,10721033
Mad City,43,37,PG-13,114,1997,Mad City,11,7,1997,50000000,10561038
The Scarlet Letter,42,14,R,135,1995,The Scarlet Letter,10,13,1995,50000000,10359006
Domino,57,18,R,128,2005,Domino,10,14,2005,50000000,10169202
Jade,28,15,R,90,1995,Jade,10,13,1995,50000000,9812870
Death to Smoochy,67,42,R,109,2002,Death to Smoochy,3,29,2002,50000000,8355815
Pirate Radio (The Boat That Rocked),71,61,R,117,2009,The Boat That Rocked,11,13,2009,50000000,8017467
The Big Bounce,24,16,PG-13,89,2004,The Big Bounce,1,30,2004,50000000,6471394
What Planet Are You From?,28,42,R,105,2000,What Planet Are You From,3,3,2000,50000000,6291602
Outlander,44,37,R,115,2008,Outlander,1,23,2009,50000000,166003
The One,52,14,PG-13,87,2001,The One,11,2,2001,49000000,43905746
Invictus,75,76,PG-13,134,2009,Invictus,12,11,2009,49000000,37491364
Indiana Jones and the Last Crusade,94,88,PG-13,126,1989,Indiana Jones and the Last Crusade,5,24,1989,48000000,197171806
The Ring,48,71,PG-13,115,2002,The Ring,10,18,2002,48000000,129094024
Traffic,85,92,R,147,2000,Traffic,12,27,2000,48000000,124107476
Panic Room,62,76,R,112,2002,Panic Room,3,29,2002,48000000,95308367
The Thomas Crown Affair,78,67,R,109,1999,The Thomas Crown Affair,8,6,1999,48000000,69304264
The Bone Collector,64,28,R,118,1999,The Bone Collector,11,5,1999,48000000,66488090
Three Kings,77,94,R,115,1999,Three Kings,10,1,1999,48000000,60652036
The Tooth Fairy,42,18,PG,101,2010,The Tooth Fairy,1,22,2010,48000000,60022256
Rat Race,64,44,PG-13,112,2001,Rat Race,8,17,2001,48000000,56607223
3:10 to Yuma,86,88,R,122,2007,310 to Yuma,9,2,2007,48000000,53606916
K-PAX,75,41,PG-13,121,2001,KPAX,10,26,2001,48000000,50315140
Kate & Leopold,63,50,PG-13,118,2001,Kate and Leopold,12,25,2001,48000000,47095453
Bedazzled,43,49,PG-13,93,2000,Bedazzled,10,20,2000,48000000,37879996
Out of Sight,75,93,R,120,1998,Out of Sight,6,26,1998,48000000,37562568
The Cotton Club,55,75,R,127,1984,The Cotton Club,12,14,1984,48000000,25928721
Rambo (Rambo IV),69,37,R,91,2008,Rambo,1,25,2008,47500000,42754105
Dick Tracy,53,64,PG,105,1990,Dick Tracy,6,15,1990,47000000,103738726
The Cable Guy,51,54,PG-13,96,1996,The Cable Guy,6,14,1996,47000000,60240295
Riding in Cars with Boys,67,49,PG-13,131,2001,Riding in Cars with Boys,10,19,2001,47000000,29781453
Happily N'ever After,34,4,PG,87,2006,Happily NEver After,1,5,2007,47000000,15849032
Solaris,59,66,PG-13,120,2002,Solaris,11,27,2002,47000000,14970038
Jonah Hex,20,12,PG-13,84,2010,Jonah Hex,6,18,2010,47000000,10547117
Mary Reilly,41,26,R,108,1996,Mary Reilly,2,23,1996,47000000,5707094
My Best Friend's Wedding,74,71,PG-13,105,1997,My Best Friends Wedding,6,20,1997,46000000,126813153
America's Sweethearts,40,31,PG-13,103,2001,Americas Sweethearts,7,20,2001,46000000,93607673
Star Trek - First Contact,89,92,PG-13,105,1996,Star Trek First Contact,11,22,1996,46000000,92027888
Insomnia,76,92,R,118,2002,Insomnia,5,24,2002,46000000,67263182
Prisoners,87,82,R,153,2013,Prisoners,9,20,2013,46000000,61002302
Courage Under Fire,64,85,R,115,1996,Courage Under Fire,7,12,1996,46000000,59003384
Inchon,11,-1,PG,140,1981,Inchon,9,17,1982,46000000,4408636
Liar Liar,75,81,PG-13,87,1997,Liar Liar,3,21,1997,45000000,181410615
A Bug's Life,71,92,G,96,1998,A Bugs Life,11,20,1998,45000000,162798565
The Flintstones,24,22,PG,92,1994,The Flintstones,5,27,1994,45000000,130531208
Scary Movie 3,55,36,PG-13,88,2003,Scary Movie 3,10,24,2003,45000000,110000082
Miss Congeniality,70,42,PG-13,105,2000,Miss Congeniality,12,22,2000,45000000,106807667
Journey to the Center of the Earth,52,61,PG,93,2008,Journey to the Center of the earth,7,11,2008,45000000,101704370
The Pelican Brief,61,52,PG-13,142,1993,The Pelican Brief,12,17,1993,45000000,100768056
The Princess Diaries 2 - Royal Engagement,60,25,G,113,2004,The Princess Diaries 2 Royal Engagement,8,11,2004,45000000,95149435
The Bucket List,78,40,PG-13,97,2007,The Bucket List,12,25,2007,45000000,93466502
The Client,69,80,PG-13,120,1994,The Client,7,20,1994,45000000,92115211
The Muppets,80,96,PG,102,2011,The Muppets,11,23,2011,45000000,88625922
Monster-in-Law,56,16,PG-13,101,2005,MonsterinLaw,5,13,2005,45000000,82931301
Training Day,89,72,R,122,2001,Training Day,10,5,2001,45000000,76261036
Galaxy Quest,78,89,PG,102,1999,Galaxy Quest,12,24,1999,45000000,71423726
Scary Movie 2,53,15,R,82,2001,Scary Movie 2,7,4,2001,45000000,71277420
Blade,78,55,R,120,1998,Blade,8,21,1998,45000000,70141876
Coach Carter,85,65,PG-13,136,2005,Coach Carter,1,14,2005,45000000,67264877
The Bounty Hunter,51,13,PG-13,110,2010,The Bounty Hunter,3,19,2010,45000000,67061228
Changing Lanes,54,77,R,98,2002,Changing Lanes,4,12,2002,45000000,66790248
Anaconda,24,38,PG-13,89,1997,Anaconda,4,11,1997,45000000,65598907
Underworld: Evolution,72,17,R,100,2006,Underworld Evolution,1,20,2006,45000000,62318875
Coyote Ugly,72,22,PG-13,100,2000,Coyote Ugly,8,4,2000,45000000,60786269
Love Actually,73,63,R,135,2003,Love Actually,11,7,2003,45000000,59472278
Jack,50,17,PG-13,114,1996,Jack,8,9,1996,45000000,58617334
The Specialist,29,4,R,101,1994,The Specialist,10,7,1994,45000000,57362581
Tin Cup,65,69,R,133,1996,Tin Cup,8,16,1996,45000000,53854588
"Yours, Mine & Ours",52,6,PG,88,2005,Yours Mine and Ours,11,23,2005,45000000,53359917
Kicking & Screaming,44,41,PG,94,2005,Kicking and Screaming,5,13,2005,45000000,52842724
The Hitchhiker's Guide to the Galaxy,65,60,PG,109,2005,The Hitchhikers Guide to the Galaxy,4,29,2005,45000000,51019112
Resident Evil: Extinction,58,22,R,94,2007,Resident Evil Extinction,9,21,2007,45000000,50648679
Fat Albert,45,23,PG,94,2004,Fat Albert,12,25,2004,45000000,48114556
The River Wild,51,55,PG-13,112,1994,The River Wild,9,30,1994,45000000,46815000
Last Holiday,68,54,PG-13,111,2006,Last Holiday,1,13,2006,45000000,38399961
16 Blocks,58,55,PG-13,101,2006,16 Blocks,3,3,2006,45000000,36895141
The Indian in the Cupboard,39,70,PG,96,1995,The Indian in the Cupboard,7,14,1995,45000000,35627222
Cellular,60,55,PG-13,94,2004,Cellular,9,10,2004,45000000,32003620
The Ant Bully,43,63,PG,89,2006,The Ant Bully,7,28,2006,45000000,28142535
Johnny English,51,33,PG,88,2003,Johnny English,7,18,2003,45000000,28013509
Dune,68,54,PG-13,137,1984,Dune,12,14,1984,45000000,27447471
Aliens in the Attic,44,31,PG,86,2009,Aliens in the Attic,7,31,2009,45000000,25200412
Across the Universe,82,53,PG-13,133,2007,Across the Universe,9,14,2007,45000000,24343673
Revolutionary Road,71,68,R,119,2008,Revolutionary Road,12,26,2008,45000000,22911480
Babylon A.D.,26,6,PG-13,90,2008,Babylon AD,8,29,2008,45000000,22532572
Frankenstein,0,-1,R,117,1993,Frankenstein,11,4,1994,45000000,22006296
The Glimmer Man,39,13,R,91,1996,The Glimmer Man,10,4,1996,45000000,20404841
Multiplicity,48,44,PG-13,107,1996,Multiplicity,7,17,1996,45000000,20133326
The Pledge,59,78,R,124,2001,The Pledge,1,19,2001,45000000,19719930
The Phantom,30,43,PG,100,1996,The Phantom,6,7,1996,45000000,17220599
Rebound,39,13,PG,87,2005,Rebound,7,1,2005,45000000,16809014
The Ghost Writer,70,83,PG-13,68,2010,The Ghost Writer,2,19,2010,45000000,15541549
All the Pretty Horses,43,32,PG-13,116,2000,All the Pretty Horses,12,22,2000,45000000,15527125
Bangkok Dangerous,26,9,R,99,2008,Bangkok Dangerous,9,5,2008,45000000,15298133
Nixon,75,75,R,190,1995,Nixon,12,20,1995,45000000,13668249
Deep Rising,42,29,R,106,1998,Deep Rising,1,30,1998,45000000,11203026
Johnny English Reborn,45,39,PG,101,2011,Johnny English Reborn,10,21,2011,45000000,8305970
Miracle at St. Anna,51,34,R,160,2008,Miracle at St Anna,9,26,2008,45000000,7916887
Big Trouble,54,48,PG-13,84,2002,Big Trouble,4,5,2002,45000000,7262288
Love in the Time of Cholera,45,26,R,138,2007,Love in the Time of Cholera,11,16,2007,45000000,4617608
Pinocchio,32,0,G,111,2002,Pinocchio,12,25,2002,45000000,3681811
The Shadow Conspiracy,18,0,R,103,1997,Shadow Conspiracy,1,31,1997,45000000,2154540
Argo,90,96,R,120,2012,Argo,10,12,2012,44500000,136025503
The Fugitive,88,96,PG-13,130,1993,The Fugitive,8,6,1993,44000000,183875760
Rambo: First Blood Part II,60,29,R,94,1985,Rambo First Blood Part II,5,22,1985,44000000,150415432
Sleepers,85,74,R,147,1996,Sleepers,10,18,1996,44000000,53300852
Charlie St. Cloud,61,27,PG-13,98,2010,Charlie St Cloud,7,30,2010,44000000,31206263
The Juror,32,15,R,118,1996,The Juror,2,2,1996,44000000,22730924
Heaven's Gate,55,56,R,220,1980,Heavens Gate,11,19,1980,44000000,3484331
The Heat,73,66,R,116,2013,The Heat,6,28,2013,43000000,159581587
Finding Forrester,79,73,PG-13,136,2000,Finding Forrester,12,19,2000,43000000,51768623
28 Days,51,31,PG-13,103,2000,28 Days,4,14,2000,43000000,37035515
Unleashed (Danny the Dog),75,65,R,102,2005,Danny the Dog,5,13,2005,43000000,24537621
The Sweetest Thing,66,26,R,91,2002,The Sweetest Thing,4,12,2002,43000000,24430272
The Mechanic,51,53,R,92,2011,The Mechanic,1,28,2011,42500000,29121498
