Index	Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
1	12/18/2009	Avatar	$425,000,000	$760,507,625	$2,783,918,982
2	5/24/2007	Pirates of the Caribbean: At World's End	$300,000,000	$309,420,425	$960,996,492
3	7/20/2012	The Dark Knight Rises	$275,000,000	$448,139,099	$1,079,343,943
4	7/2/2013	The Lone Ranger	$275,000,000	$89,289,910	$259,989,910
5	3/9/2012	John Carter	$275,000,000	$73,058,679	$282,778,100
6	11/24/2010	Tangled	$260,000,000	$200,821,936	$586,581,936
7	5/4/2007	Spider-Man 3	$258,000,000	$336,530,303	$890,875,303
8	12/14/2012	The Hobbit: An Unexpected Journey	$250,000,000	$303,003,568	$1,014,703,568
9	7/15/2009	Harry Potter and the Half-Blood Prince	$250,000,000	$301,959,197	$934,416,487
10	12/13/2013	The Hobbit: The Desolation of Smaug	$250,000,000	$254,710,178	$854,710,178
11	5/20/2011	Pirates of the Caribbean: On Stranger Tides	$250,000,000	$241,063,875	$1,043,663,875
12	12/17/2014	The Hobbit: There and Back Again	$250,000,000	$0	$0
13	6/28/2006	Superman Returns	$232,000,000	$200,120,000	$390,874,000
14	11/14/2008	Quantum of Solace	$230,000,000	$169,368,427	$591,692,078
15	5/4/2012	Marvel's The Avengers	$225,000,000	$623,279,547	$1,514,279,547
16	7/7/2006	Pirates of the Caribbean: Dead Man's Chest	$225,000,000	$423,315,812	$1,060,615,812
17	6/14/2013	Man of Steel	$225,000,000	$291,045,518	$687,999,518
18	5/16/2008	The Chronicles of Narnia: Prince Caspian	$225,000,000	$141,621,490	$419,490,286
19	12/25/2013	47 Ronin	$225,000,000	$38,362,475	$130,494,945
20	7/3/2012	The Amazing Spider-Man	$220,000,000	$262,030,663	$757,890,267
21	5/25/2012	Men in Black 3	$215,000,000	$179,020,854	$624,821,154
22	6/24/2009	Transformers: Revenge of the Fallen	$210,000,000	$402,111,870	$836,519,699
23	5/26/2006	X-Men: The Last Stand	$210,000,000	$234,362,462	$459,359,555
24	5/14/2010	Robin Hood	$210,000,000	$105,487,148	$322,459,006
25	5/18/2012	Battleship	$209,000,000	$65,235,400	$304,142,720
26	12/14/2005	King Kong	$207,000,000	$218,080,025	$550,517,357
27	12/1/2007	The Golden Compass	$205,000,000	$70,107,728	$372,234,864
28	12/19/1997	Titanic	$200,000,000	$658,672,302	$2,185,672,302
29	6/18/2010	Toy Story 3	$200,000,000	$415,004,880	$1,063,759,456
30	5/3/2013	Iron Man 3	$200,000,000	$408,992,272	$1,212,692,272
31	6/30/2004	Spider-Man 2	$200,000,000	$373,524,485	$783,705,001
32	3/5/2010	Alice in Wonderland	$200,000,000	$334,191,110	$1,024,391,110
33	11/8/2012	Skyfall	$200,000,000	$304,360,277	$1,108,694,081
34	3/8/2013	Oz the Great and Powerful	$200,000,000	$234,770,996	$489,570,996
35	6/24/2011	Cars 2	$200,000,000	$191,450,875	$560,155,383
36	12/17/2010	Tron: Legacy	$200,000,000	$172,062,763	$397,562,763
37	11/13/2009	2012	$200,000,000	$166,112,167	$788,408,539
38	5/21/2009	Terminator Salvation	$200,000,000	$125,322,469	$371,628,539
39	6/17/2011	Green Lantern	$200,000,000	$116,601,172	$231,201,172
40	5/28/2010	Prince of Persia: Sands of Time	$200,000,000	$90,759,676	$335,059,676
41	6/29/2011	Transformers: Dark of the Moon	$195,000,000	$352,390,543	$1,123,794,076
42	3/1/2013	Jack the Giant Slayer	$195,000,000	$65,187,603	$197,387,603
43	5/15/2013	Star Trek Into Darkness	$190,000,000	$228,778,661	$466,978,661
44	6/21/2013	World War Z	$190,000,000	$202,359,711	$539,559,711
45	5/10/2013	The Great Gatsby	$190,000,000	$144,840,419	$351,040,419
46	11/6/2009	Disney's A Christmas Carol	$190,000,000	$137,855,863	$323,743,744
47	7/12/2013	Pacific Rim	$190,000,000	$101,802,906	$411,002,906
48	11/4/2006	A Christmas Carol	$190,000,000	$0	$177,853,834
49	5/2/2008	Iron Man	$186,000,000	$318,604,126	$582,443,126
50	7/18/2008	The Dark Knight	$185,000,000	$533,345,358	$1,002,891,358
51	5/22/2008	Indiana Jones and the Kingdom of the Crystal Skull	$185,000,000	$317,023,851	$786,558,145
52	6/22/2012	Brave	$185,000,000	$237,282,182	$554,606,532
53	12/9/2005	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	$180,000,000	$291,710,957	$748,806,957
54	6/27/2008	WALL-E	$180,000,000	$223,808,164	$532,590,994
55	8/10/2007	Rush Hour 3	$180,000,000	$140,125,968	$253,025,968
56	11/23/2011	Hugo	$180,000,000	$73,864,507	$185,033,215
57	5/29/2009	Up	$175,000,000	$293,004,164	$731,542,621
58	3/27/2009	Monsters vs. Aliens	$175,000,000	$198,351,526	$381,687,380
59	8/7/2009	G.I. Joe: The Rise of Cobra	$175,000,000	$150,201,498	$302,469,017
60	6/30/1999	Wild Wild West	$175,000,000	$113,805,681	$221,229,335
61	8/1/2008	The Mummy: Tomb of the Dragon Emperor	$175,000,000	$102,491,776	$405,760,225
62	6/22/2007	Evan Almighty	$175,000,000	$100,289,690	$173,219,280
63	7/28/1995	Waterworld	$175,000,000	$88,246,220	$264,246,220
64	12/31/2012	Singularity	$175,000,000	$0	$0
65	5/7/2010	Iron Man 2	$170,000,000	$312,433,331	$623,561,331
66	11/8/2013	Thor: The Dark World	$170,000,000	$204,674,790	$631,674,790
67	11/10/2004	The Polar Express	$170,000,000	$194,949,659	$319,049,659
68	6/1/2012	Snow White and the Huntsman	$170,000,000	$155,136,755	$400,911,200
69	7/1/2003	Terminator 3: Rise of the Machines	$170,000,000	$150,358,296	$433,058,296
70	5/7/2004	Van Helsing	$170,000,000	$120,150,546	$300,150,546
71	5/21/2010	Shrek Forever After	$165,000,000	$238,736,787	$756,244,673
72	3/26/2010	How to Train Your Dragon	$165,000,000	$217,581,231	$494,870,991
73	11/2/2012	Wreck-It Ralph	$165,000,000	$189,412,677	$473,412,677
74	7/29/2011	Cowboys and Aliens	$163,000,000	$100,240,551	$175,910,315
75	5/17/2007	Shrek the Third	$160,000,000	$322,719,944	$807,330,936
76	7/16/2010	Inception	$160,000,000	$292,576,195	$832,584,416
77	5/24/2013	Fast and Furious 6	$160,000,000	$238,679,850	$788,128,122
78	6/3/2011	X-Men: First Class	$160,000,000	$146,408,305	$355,408,305
79	12/25/2008	The Curious Case of Benjamin Button	$160,000,000	$127,509,326	$329,809,326
80	7/14/2010	The Sorcerer's Apprentice	$160,000,000	$63,150,991	$215,150,991
81	5/12/2006	Poseidon	$160,000,000	$60,674,817	$181,674,817
82	12/10/2010	The Chronicles of Narnia: The Voyage of the Dawn Treader	$155,000,000	$104,386,950	$418,186,950
83	11/24/2004	Alexander	$155,000,000	$34,297,191	$167,297,191
84	5/25/2001	Pearl Harbor	$151,500,000	$198,539,855	$449,239,855
85	7/2/2007	Transformers	$151,000,000	$319,246,193	$708,272,592
86	11/22/2013	Frozen	$150,000,000	$361,764,626	$865,764,626
87	7/11/2007	Harry Potter and the Order of the Phoenix	$150,000,000	$292,004,738	$942,943,935
88	11/18/2005	Harry Potter and the Goblet of Fire	$150,000,000	$290,013,036	$896,911,078
89	12/14/2007	I am Legend	$150,000,000	$256,393,010	$585,410,052
90	7/1/2008	Hancock	$150,000,000	$227,946,274	$624,346,274
91	7/15/2005	Charlie and the Chocolate Factory	$150,000,000	$206,459,076	$474,459,076
92	6/29/2007	Ratatouille	$150,000,000	$206,445,654	$626,549,695
93	6/15/2005	Batman Begins	$150,000,000	$205,343,774	$373,298,774
94	5/6/2011	Thor	$150,000,000	$181,030,624	$449,326,618
95	11/7/2008	Madagascar: Escape 2 Africa	$150,000,000	$180,010,950	$599,516,844
96	5/1/2009	X-Men Origins: Wolverine	$150,000,000	$179,883,157	$374,825,760
97	5/22/2009	Night at the Museum: Battle of the Smithsonian	$150,000,000	$177,243,721	$413,054,631
98	5/26/2011	Kung Fu Panda 2	$150,000,000	$165,249,063	$664,837,547
99	5/5/2006	Mission: Impossible III	$150,000,000	$133,501,348	$397,501,348
100	5/15/2009	Angels & Demons	$150,000,000	$133,375,846	$490,875,846
101	5/14/2004	Troy	$150,000,000	$133,298,577	$497,398,577
102	7/1/2010	The Last Airbender	$150,000,000	$131,772,187	$319,713,881
103	11/2/2007	Bee Movie	$150,000,000	$126,631,277	$287,594,577
104	7/24/2009	G-Force	$150,000,000	$119,436,770	$287,389,685
105	11/21/2008	Bolt	$150,000,000	$114,053,759	$313,953,759
106	3/30/2012	Wrath of the Titans	$150,000,000	$83,670,083	$301,970,083
107	11/16/2007	Beowulf	$150,000,000	$82,195,215	$194,995,215
108	6/28/2013	White House Down	$150,000,000	$73,103,784	$205,440,387
109	2/12/2010	The Wolfman	$150,000,000	$62,189,884	$142,634,358
110	3/11/2011	Mars Needs Moms	$150,000,000	$21,392,758	$39,549,758
111	11/3/2006	Flushed Away	$149,000,000	$64,665,672	$177,665,672
112	6/8/2012	Madagascar 3: Europe's Most Wanted	$145,000,000	$216,391,482	$746,921,271
113	12/16/2011	Mission: Impossible - Ghost Protocol	$145,000,000	$209,397,903	$694,713,230
114	6/16/1999	Tarzan	$145,000,000	$171,091,819	$448,191,819
115	11/21/2012	Rise of the Guardians	$145,000,000	$103,412,758	$306,900,902
116	4/8/2005	Sahara	$145,000,000	$68,671,925	$121,671,925
117	11/22/2002	Die Another Day	$142,000,000	$160,942,139	$431,942,139
118	5/8/2009	Star Trek	$140,000,000	$257,730,019	$385,680,446
119	7/1/1998	Armageddon	$140,000,000	$201,578,182	$554,600,000
120	7/3/2002	Men in Black 2	$140,000,000	$190,418,803	$441,767,803
121	7/22/2011	Captain America: The First Avenger	$140,000,000	$176,654,505	$370,569,776
122	7/10/1998	Lethal Weapon 4	$140,000,000	$130,444,603	$285,400,000
123	3/27/2013	G.I. Joe: Retaliation	$140,000,000	$122,523,060	$371,923,060
124	12/5/2003	The Last Samurai	$140,000,000	$111,110,575	$456,810,575
125	12/21/2005	Fun With Dick And Jane	$140,000,000	$110,550,000	$201,798,116
126	5/3/2002	Spider-Man	$139,000,000	$403,706,375	$821,565,375
127	3/6/2009	Watchmen	$138,000,000	$107,509,799	$184,068,357
128	7/29/2005	Stealth	$138,000,000	$32,116,746	$76,416,746
129	6/13/2008	The Incredible Hulk	$137,500,000	$134,806,913	$263,417,913
130	6/20/2003	Hulk	$137,000,000	$132,177,234	$245,229,234
131	7/11/2001	Final Fantasy: The Spirits Within	$137,000,000	$32,131,830	$85,131,830
132	11/16/2012	The Twilight Saga: Breaking Dawn, Part 2	$136,200,000	$292,324,737	$832,660,037
133	3/22/2013	The Croods	$135,000,000	$187,168,425	$573,068,425
134	11/19/1999	The World is Not Enough	$135,000,000	$126,930,660	$361,730,660
135	3/4/2011	Rango	$135,000,000	$123,257,581	$245,504,574
136	11/14/2003	Master and Commander: The Far Side of the World	$135,000,000	$93,926,386	$212,912,137
137	7/17/2013	Turbo	$135,000,000	$83,028,130	$283,828,130
138	11/18/2011	Happy Feet Two	$135,000,000	$64,006,466	$157,956,466
139	7/28/2006	Miami Vice	$135,000,000	$63,478,838	$163,818,556
140	6/29/2005	War of the Worlds	$132,000,000	$234,280,354	$606,836,535
141	11/22/2013	The Hunger Games: Catching Fire	$130,000,000	$421,750,785	$854,750,785
142	6/4/2004	Harry Potter and the Prisoner of Azkaban	$130,000,000	$249,538,952	$796,688,549
143	8/3/2007	The Bourne Ultimatum	$130,000,000	$227,471,070	$442,161,562
144	6/6/2008	Kung Fu Panda	$130,000,000	$215,434,591	$631,910,531
145	10/28/2011	Puss in Boots	$130,000,000	$149,260,504	$554,987,477
146	11/5/2010	Megamind	$130,000,000	$148,415,853	$321,887,208
147	7/18/2003	Bad Boys II	$130,000,000	$138,540,870	$272,940,870
148	7/23/2010	Salt	$130,000,000	$118,311,368	$295,713,467
149	12/21/2011	The Adventures of Tintin	$130,000,000	$77,591,831	$373,993,951
150	11/26/2008	Australia	$130,000,000	$49,554,002	$215,080,810
151	7/19/2013	R.I.P.D.	$130,000,000	$33,618,855	$79,019,510
152	11/18/2011	The Twilight Saga: Breaking Dawn, Part 1	$127,500,000	$281,287,133	$709,938,657
153	5/19/2000	Dinosaur	$127,500,000	$137,748,063	$356,148,063
154	5/15/2003	The Matrix Reloaded	$127,000,000	$281,553,689	$738,576,929
155	7/15/2011	Harry Potter and the Deathly Hallows: Part II	$125,000,000	$381,011,219	$1,328,111,219
156	11/16/2001	Harry Potter and the Sorcerer's Stone	$125,000,000	$317,575,550	$974,755,371
157	7/9/2003	Pirates of the Caribbean: The Curse of the Black Pearl	$125,000,000	$305,411,224	$634,954,103
158	11/19/2010	Harry Potter and the Deathly Hallows: Part I	$125,000,000	$295,983,305	$956,399,711
159	5/19/2006	The Da Vinci Code	$125,000,000	$217,536,138	$767,820,459
160	5/2/2003	X2	$125,000,000	$214,949,694	$407,711,549
161	4/29/2011	Fast Five	$125,000,000	$209,837,675	$629,841,284
162	5/28/2004	The Day After Tomorrow	$125,000,000	$186,740,799	$556,319,450
163	4/1/2010	Clash of the Titans	$125,000,000	$163,214,888	$493,214,888
164	5/19/1998	Godzilla	$125,000,000	$136,314,294	$376,000,000
165	6/20/1997	Batman & Robin	$125,000,000	$107,325,195	$238,317,814
166	8/27/1999	The 13th Warrior	$125,000,000	$32,698,899	$61,698,899
167	11/17/2000	How the Grinch Stole Christmas	$123,000,000	$260,044,825	$345,141,403
168	5/24/2000	Mission: Impossible 2	$120,000,000	$215,409,889	$546,209,889
169	6/30/2000	The Perfect Storm	$120,000,000	$182,618,434	$328,711,434
170	6/15/2007	Fantastic Four: Rise of the Silver Surfer	$120,000,000	$131,921,738	$288,215,319
171	11/21/2012	Life of Pi	$120,000,000	$124,987,022	$607,987,022
172	2/16/2007	Ghost Rider	$120,000,000	$115,802,596	$237,702,596
173	6/27/2003	Charlie's Angels: Full Throttle	$120,000,000	$100,814,328	$227,200,000
174	8/9/2013	Elysium	$120,000,000	$93,050,117	$286,192,091
175	4/19/2013	Oblivion	$120,000,000	$89,107,235	$287,537,983
176	7/19/2002	Stuart Little 2	$120,000,000	$64,956,806	$166,000,000
177	6/11/2004	The Chronicles of Riddick	$120,000,000	$57,712,751	$107,212,751
178	5/9/2008	Speed Racer	$120,000,000	$43,945,766	$93,394,462
179	7/22/2005	The Island	$120,000,000	$35,818,913	$163,018,913
180	12/17/2010	How Do You Know?	$120,000,000	$30,212,620	$48,668,307
181	6/23/2010	Knight and Day	$117,000,000	$76,423,035	$262,142,047
182	5/19/1999	Star Wars Ep. I: The Phantom Menace	$115,000,000	$474,544,677	$1,007,044,677
183	5/19/2005	Star Wars Ep. III: Revenge of the Sith	$115,000,000	$380,270,577	$848,998,877
184	5/16/2002	Star Wars Ep. II: Attack of the Clones	$115,000,000	$310,676,740	$656,695,615
185	11/2/2001	Monsters, Inc.	$115,000,000	$289,423,425	$559,757,719
186	7/26/2013	The Wolverine	$115,000,000	$132,556,852	$416,456,852
187	2/7/1997	Dante's Peak	$115,000,000	$67,163,857	$178,200,000
188	6/14/2002	Windtalkers	$115,000,000	$40,914,068	$77,628,265
189	7/4/2008	AstÃ©rix aux Jeux Olympiques	$113,500,000	$999,811	$132,999,811
190	12/25/2010	Gulliver's Travels	$112,000,000	$42,779,261	$239,179,261
191	10/4/2013	Gravity	$110,000,000	$264,802,800	$692,102,800
192	12/22/2006	Night at the Museum	$110,000,000	$250,863,268	$574,480,841
193	6/10/2005	Mr. And Mrs. Smith	$110,000,000	$186,336,279	$478,336,279
194	7/29/2011	The Smurfs	$110,000,000	$142,614,158	$563,066,551
195	11/5/2003	The Matrix Revolutions	$110,000,000	$139,259,759	$424,259,759
196	6/27/2007	Live Free or Die Hard	$110,000,000	$134,529,403	$383,531,464
197	12/10/2004	Ocean's Twelve	$110,000,000	$125,531,634	$362,989,076
198	12/19/1997	Tomorrow Never Dies	$110,000,000	$125,304,276	$339,504,276
199	6/28/2000	The Patriot	$110,000,000	$113,330,342	$215,300,000
200	12/17/2004	The Aviator	$110,000,000	$102,608,827	$214,608,827
201	1/14/2011	The Green Hornet	$110,000,000	$98,780,042	$227,983,150
202	10/7/2011	Real Steel	$110,000,000	$85,463,309	$293,237,309
203	6/11/2010	The A-Team	$110,000,000	$77,222,099	$177,241,171
204	7/31/2013	The Smurfs 2	$110,000,000	$71,017,784	$347,803,723
205	6/12/2009	The Taking of Pelham 123	$110,000,000	$65,452,312	$152,364,370
206	11/1/2013	Ender's Game	$110,000,000	$61,737,191	$89,737,191
207	4/2/2004	Home on the Range	$110,000,000	$50,026,353	$76,482,461
208	6/13/1997	Speed II: Cruise Control	$110,000,000	$48,097,081	$150,468,000
209	5/6/2005	Kingdom of Heaven	$110,000,000	$47,398,413	$218,853,353
210	6/16/2004	Around the World in 80 Days	$110,000,000	$24,004,159	$72,004,159
211	12/19/2001	The Lord of the Rings: The Fellowship of the Ring	$109,000,000	$315,544,750	$887,217,688
212	11/21/2003	The Cat in the Hat	$109,000,000	$101,018,283	$133,818,283
213	12/25/2001	Ali	$109,000,000	$58,183,966	$87,683,966
214	7/16/2004	I, Robot	$105,000,000	$144,801,023	$348,601,023
215	12/17/1999	Stuart Little	$105,000,000	$140,015,224	$298,800,000
216	11/25/2009	The Princess and the Frog	$105,000,000	$104,400,899	$263,494,174
217	3/7/2008	10,000 B.C.	$105,000,000	$94,784,201	$269,065,678
218	4/27/2001	Town & Country	$105,000,000	$6,712,451	$10,364,769
219	6/9/2000	Gone in 60 Seconds	$103,300,000	$101,643,008	$232,643,008
220	5/5/2000	Gladiator	$103,000,000	$187,683,805	$457,683,805
221	5/23/2013	The Hangover 3	$103,000,000	$112,200,072	$362,000,072
222	7/1/2009	Public Enemies	$102,500,000	$97,104,620	$210,379,983
223	11/17/2006	Casino Royale	$102,000,000	$167,365,000	$596,365,000
224	6/21/2002	Minority Report	$102,000,000	$132,024,714	$358,824,714
225	10/26/2012	Cloud Atlas	$102,000,000	$27,108,272	$126,018,564
226	11/15/2002	Harry Potter and the Chamber of Secrets	$100,000,000	$261,987,880	$878,979,634
227	7/2/1991	Terminator 2: Judgment Day	$100,000,000	$204,859,496	$516,816,151
228	6/16/1995	Batman Forever	$100,000,000	$184,031,112	$336,529,144
229	7/27/2001	Planet of the Apes	$100,000,000	$180,011,740	$362,211,740
230	11/19/2004	National Treasure	$100,000,000	$173,005,002	$347,405,002
231	12/25/2012	Django Unchained	$100,000,000	$162,805,434	$425,373,688
232	12/22/2010	Little Fockers	$100,000,000	$148,438,600	$310,650,574
233	7/15/1994	True Lies	$100,000,000	$146,282,411	$365,300,000
234	11/2/2007	American Gangster	$100,000,000	$130,164,645	$267,985,456
235	9/18/2009	Cloudy with a Chance of Meatballs	$100,000,000	$124,870,275	$236,827,677
236	12/17/2004	Lemony Snicket's A Series of Unfortunate Events	$100,000,000	$118,627,117	$201,627,117
237	5/24/2013	Epic	$100,000,000	$107,518,682	$268,418,682
238	6/21/1996	Eraser	$100,000,000	$101,295,562	$234,400,000
239	6/21/1996	The Hunchback of Notre Dame	$100,000,000	$100,138,851	$325,500,000
240	12/15/2000	The Emperor's New Groove	$100,000,000	$89,296,573	$169,296,573
241	8/17/2012	The Expendables 2	$100,000,000	$85,028,192	$311,979,256
242	10/16/2009	Where the Wild Things Are	$100,000,000	$77,233,467	$99,123,656
243	12/15/2006	Eragon	$100,000,000	$75,030,163	$249,488,115
244	11/24/1999	End of Days	$100,000,000	$66,889,043	$212,026,975
245	6/11/2004	The Stepford Wives	$100,000,000	$59,475,623	$96,221,971
246	6/8/2007	Surf's Up	$100,000,000	$58,867,694	$145,395,745
247	12/8/2006	Blood Diamond	$100,000,000	$57,377,916	$171,377,916
248	9/24/2010	Legend of the Guardians: The Owls of Ga'Hoole 3D	$100,000,000	$55,675,313	$139,906,561
249	11/7/1997	Starship Troopers	$100,000,000	$54,768,952	$121,100,000
250	6/5/2009	Land of the Lost	$100,000,000	$49,438,370	$69,548,641
251	12/25/2003	Peter Pan	$100,000,000	$48,417,850	$95,255,485
252	7/23/2004	Catwoman	$100,000,000	$40,202,379	$82,145,379
253	11/27/2002	Treasure Planet	$100,000,000	$38,120,554	$91,800,000
254	3/12/2010	Green Zone	$100,000,000	$35,497,337	$97,523,020
255	2/18/2005	Son of the Mask	$100,000,000	$17,018,422	$59,918,422
256	8/16/2002	The Adventures of Pluto Nash	$100,000,000	$4,411,102	$7,094,995
257	12/21/2011	Jin lÃ­ng shÃ­ san chai	$100,000,000	$311,434	$93,721,434
258	5/4/2001	The Mummy Returns	$98,000,000	$202,007,640	$435,040,395
259	12/20/2002	Gangs of New York	$97,000,000	$77,730,500	$190,400,000
260	7/13/2012	Ice Age: Continental Drift	$95,000,000	$161,321,843	$879,765,137
261	12/28/2001	Black Hawk Down	$95,000,000	$108,638,745	$159,691,085
262	5/27/2010	Sex and the City 2	$95,000,000	$95,347,692	$294,680,778
263	2/12/2010	Percy Jackson & the Olympians: The Lightning Thief	$95,000,000	$88,768,303	$226,467,130
264	11/12/2010	Unstoppable	$95,000,000	$81,562,942	$169,511,609
265	5/9/1997	The Fifth Element	$95,000,000	$63,570,862	$263,900,000
266	3/31/2000	The Road to El Dorado	$95,000,000	$50,802,661	$65,700,000
267	12/11/2009	The Lovely Bones	$95,000,000	$44,114,232	$94,894,448
268	5/30/2003	Finding Nemo	$94,000,000	$380,529,370	$906,465,556
269	12/17/2003	The Lord of the Rings: The Return of the King	$94,000,000	$377,845,905	$1,141,408,667
270	12/18/2002	The Lord of the Rings: The Two Towers	$94,000,000	$342,548,984	$927,048,984
271	6/15/2001	Lara Croft: Tomb Raider	$94,000,000	$131,144,183	$274,644,183
272	7/18/2001	Jurassic Park III	$93,000,000	$181,166,115	$365,900,000
273	8/5/2011	Rise of the Planet of the Apes	$93,000,000	$176,760,185	$482,860,185
274	2/14/2008	The Spiderwick Chronicles	$92,500,000	$71,195,053	$162,839,667
275	11/5/2004	The Incredibles	$92,000,000	$261,441,092	$632,107,545
276	2/14/2013	A Good Day to Die Hard	$92,000,000	$67,349,198	$304,249,198
277	4/9/2004	The Alamo	$92,000,000	$22,406,362	$23,911,362
278	12/22/1995	Cutthroat Island	$92,000,000	$10,017,322	$18,517,322
279	7/1/1997	Men in Black	$90,000,000	$250,690,539	$587,790,539
280	11/19/1999	Toy Story 2	$90,000,000	$245,852,179	$511,358,276
281	8/3/2001	Rush Hour 2	$90,000,000	$226,164,286	$347,425,832
282	12/25/2009	Sherlock Holmes	$90,000,000	$209,028,679	$498,438,212
283	7/1/2009	Ice Age: Dawn of the Dinosaurs	$90,000,000	$196,573,705	$886,968,695
284	7/21/2000	What Lies Beneath	$90,000,000	$155,464,351	$288,693,989
285	4/15/2011	Rio	$90,000,000	$143,619,809	$487,519,809
286	10/6/2006	The Departed	$90,000,000	$133,311,000	$290,539,042
287	11/3/2000	Charlie's Angels	$90,000,000	$125,305,545	$259,736,090
288	6/19/1998	Mulan	$90,000,000	$120,620,254	$303,500,000
289	8/13/2008	Tropic Thunder	$90,000,000	$110,461,307	$188,163,455
290	12/20/2011	The Girl with the Dragon Tattoo	$90,000,000	$102,515,793	$233,170,238
291	7/11/1997	Contact	$90,000,000	$100,920,329	$165,900,000
292	5/19/1995	Die Hard: With a Vengeance	$90,000,000	$100,012,499	$364,480,746
293	6/8/2001	Atlantis: The Lost Empire	$90,000,000	$84,052,762	$186,049,020
294	6/29/2001	Artificial Intelligence: AI	$90,000,000	$78,616,689	$235,900,000
295	8/4/2000	Hollow Man	$90,000,000	$73,209,340	$191,200,000
296	4/22/2005	The Interpreter	$90,000,000	$72,708,1610	$163,954,076
297	8/7/2013	Percy Jackson: Sea of Monsters	$90,000,000	$68,559,554	$200,859,554
298	7/25/2003	Lara Croft: Tomb Raider: The Cradle of Life	$90,000,000	$65,653,758	$156,453,758
299	11/21/2001	Spy Game	$90,000,000	$62,362,560	$143,049,560
300	4/4/1997	The Saint	$90,000,000	$61,363,304	$169,400,000
301	3/10/2000	Mission to Mars	$90,000,000	$60,874,615	$106,000,000
302	12/17/1999	Bicentennial Man	$90,000,000	$58,220,776	$87,420,776
303	7/7/2004	King Arthur	$90,000,000	$51,877,963	$203,877,963
304	4/25/1997	Volcano	$90,000,000	$47,546,796	$120,100,000
305	3/26/1997	The Devil's Own	$90,000,000	$42,885,593	$140,900,000
306	7/19/2002	K-19: The Widowmaker	$90,000,000	$35,168,966	$65,716,126
307	8/19/2011	Conan the Barbarian 3D	$90,000,000	$21,295,021	$63,356,133
308	10/21/2011	The Three Musketeers 3D	$90,000,000	$20,377,913	$139,877,913
309	11/24/2010	The Nutcracker in 3D	$90,000,000	$195,459	$20,466,016
310	5/10/1996	Twister	$88,000,000	$241,888,385	$495,900,000
311	6/3/2005	Cinderella Man	$88,000,000	$61,649,911	$108,539,911
312	7/8/2005	Fantastic Four	$87,500,000	$154,696,080	$330,717,080
313	2/9/2001	Hannibal	$87,000,000	$165,092,266	$350,100,280
314	7/25/2003	Seabiscuit	$86,000,000	$120,277,854	$148,336,445
315	12/22/2000	Cast Away	$85,000,000	$233,632,142	$427,230,516
316	11/17/2006	Happy Feet	$85,000,000	$198,000,317	$385,000,317
317	12/7/2001	Ocean's Eleven	$85,000,000	$183,417,150	$450,728,529
318	7/23/2004	The Bourne Supremacy	$85,000,000	$176,087,450	$288,587,450
319	7/25/1997	Air Force One	$85,000,000	$172,956,409	$315,268,353
320	4/3/2009	Fast & Furious	$85,000,000	$155,064,265	$363,064,265
321	3/14/2008	Horton Hears a Who	$85,000,000	$154,529,439	$297,133,947
322	9/28/2012	Hotel Transylvania	$85,000,000	$148,313,048	$359,222,014
323	11/21/2007	Enchanted	$85,000,000	$127,706,877	$340,384,141
324	7/20/2007	I Now Pronounce You Chuck and Larry	$85,000,000	$119,725,280	$185,708,462
325	6/8/2007	Ocean's Thirteen	$85,000,000	$117,144,465	$311,744,465
326	12/25/2009	It's Complicated	$85,000,000	$112,735,375	$224,614,744
327	11/20/1998	Enemy of the State	$85,000,000	$111,549,836	$250,649,836
328	9/29/2006	Open Season	$85,000,000	$85,105,259	$189,901,703
329	11/4/2011	Tower Heist	$85,000,000	$78,046,570	$153,470,352
330	11/22/2000	102 Dalmatians	$85,000,000	$66,941,559	$66,941,559
331	3/30/2012	Mirror Mirror	$85,000,000	$64,935,167	$168,611,991
332	12/8/2006	The Holiday	$85,000,000	$63,280,000	$205,190,324
333	6/16/2006	The Fast and the Furious: Tokyo Drift	$85,000,000	$62,615,510	$157,794,205
334	12/9/2005	Memoirs of a Geisha	$85,000,000	$57,010,853	$161,510,853
335	3/16/2001	Enemy at the Gates	$85,000,000	$51,396,781	$96,971,293
336	6/18/1993	Last Action Hero	$85,000,000	$50,016,394	$137,298,489
337	9/26/2003	The Rundown	$85,000,000	$47,641,743	$80,831,893
338	11/23/2011	Arthur Christmas	$85,000,000	$46,462,469	$147,624,649
339	7/30/2010	Cats & Dogs: The Revenge of Kitty Galore	$85,000,000	$45,539,292	$114,979,922
340	11/13/1998	Meet Joe Black	$85,000,000	$44,650,003	$44,650,003
341	2/8/2002	Collateral Damage	$85,000,000	$40,048,332	$78,353,508
342	3/15/2002	Showtime	$85,000,000	$37,948,765	$78,948,765
343	6/30/1995	Judge Dredd	$85,000,000	$34,687,912	$113,487,912
344	3/2/2007	Zodiaca	$85,000,000	$33,080,084	$83,080,084
345	8/13/2010	Scott Pilgrim vs. The World	$85,000,000	$31,611,316	$48,089,760
346	3/28/2003	The Core	$85,000,000	$31,111,260	$74,132,631
347	5/9/1997	Father's Day	$85,000,000	$28,681,080	$35,681,080
348	6/14/2002	Scooby-Doo	$84,000,000	$153,294,164	$276,294,164
349	7/28/2000	Nutty Professor II: The Klumps	$84,000,000	$123,307,945	$166,307,945
