Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Killers,75000000,47059963,2010,6,4,Killers,41.0,11.0,100.0,Ashton Kutcher,Katherine Heigl,Tom Selleck,tt1103153,21.0,English,Robert Luketic,"Action, Comedy, Romance",5.3,55751.0,1,0,1,4
Tears of the Sun,75000000,43632458,2003,3,7,Tears of the Sun,70.0,33.0,121.0,Bruce Willis,Monica Bellucci,Cole Hauser,tt0314353,48.0,English,Antoine Fuqua,"Action, Drama, Thriller",6.6,74200.0,0,1,0,4
Lady in the Water,75000000,42285169,2006,7,21,Lady in the Water,49.0,24.0,109.0,Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,tt0452637,36.0,English,M. Night Shyamalan,"Fantasy, Mystery, Thriller",5.7,66958.0,1,0,0,4
Spanglish,75000000,42044321,2004,12,17,Spanglish,61.0,53.0,130.0,Adam Sandler,Tea Leoni,Paz Vega,tt0371246,48.0,"English, Spanish",James L. Brooks,"Comedy, Drama, Romance",6.5,54734.0,1,0,0,4
Bandits,75000000,41523271,2001,10,12,Bandits,59.0,65.0,122.0,Bruce Willis,Billy Bob Thornton,Cate Blanchett,tt0219965,60.0,English,Barry Levinson,"Comedy, Crime, Drama",6.6,49087.0,1,0,0,4
Anna and the King,75000000,39251128,1999,12,17,Anna and the King,65.0,51.0,147.0,Jodie Foster,Yun-Fat Chow,Ling Bai,tt0166485,56.0,"English, Thai, French",Andy Tennant,"Comedy, Drama, History",6.7,26671.0,1,0,0,4
Sucker Punch,75000000,36392502,2011,3,25,Sucker Punch,47.0,23.0,110.0,Emily Browning,Abbie Cornish,Jena Malone,tt0978764,33.0,"English, German",Zack Snyder,"Action, Fantasy, Thriller",6.1,156179.0,1,0,0,4
Hostage,75000000,34636443,2005,3,11,Hostage,63.0,35.0,73.0,Bruce Willis,Kevin Pollak,Ben Foster,tt0340163,44.0,English,Florent-Emilio Siri,"Crime, Drama, Mystery",6.6,80256.0,0,1,0,4
Hollywood Homicide,75000000,30207785,2003,6,13,Hollywood Homicide,28.0,30.0,116.0,Harrison Ford,Josh Hartnett,Lena Olin,tt0329717,47.0,English,Ron Shelton,"Action, Comedy, Crime",5.3,27159.0,1,0,0,4
Titan A.E.,75000000,22751979,2000,6,16,Titan A.E.,61.0,52.0,95.0,Matt Damon,Drew Barrymore,Bill Pullman,tt0120913,48.0,"English, Mandarin","Don Bluth, Gary Goldman, Art Vitello","Animation, Action, Adventure",6.6,44989.0,1,0,0,4
Flight of the Phoenix,75000000,21009180,2004,12,17,Flight of the Phoenix,41.0,30.0,112.0,Dennis Quaid,Tyrese Gibson,Giovanni Ribisi,tt0377062,47.0,English,John Moore,"Action, Adventure, Drama",6.1,39730.0,1,0,0,4
Virus,75000000,14010690,1999,1,15,Virus,20.0,9.0,100.0,Jamie Lee Curtis,William Baldwin,Donald Sutherland,tt0120458,19.0,"English, Russian",John Bruno,"Action, Horror, Thriller",4.8,18851.0,0,1,0,4
Monkeybone,75000000,5409517,2001,2,23,Monkeybone,28.0,20.0,92.0,Brendan Fraser,Bridget Fonda,Whoopi Goldberg,tt0166276,40.0,English,Henry Selick,"Animation, Comedy, Fantasy",4.7,12290.0,1,0,0,4
Unbreakable,73243106,94999143,2000,11,22,Unbreakable,77.0,68.0,107.0,Bruce Willis,Samuel L. Jackson,Robin Wright,tt0217869,62.0,English,M. Night Shyamalan,"Drama, Mystery, Sci-Fi",7.2,198449.0,1,0,1,2
Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377,2006,8,4,Talladega Nights: The Ballad of Ricky Bobby,73.0,72.0,110.0,Will Ferrell,John C. Reilly,Sacha Baron Cohen,tt0415306,66.0,"English, French",Adam McKay,"Action, Comedy, Sport",6.5,96974.0,1,0,0,4
Snake Eyes,73000000,55591409,1998,8,7,Snake Eyes,35.0,40.0,107.0,Nicolas Cage,Gary Sinise,John Heard,tt0120832,52.0,English,Brian De Palma,"Crime, Mystery, Thriller",5.9,54731.0,0,1,0,4
Sphere,73000000,37068294,1998,2,13,Sphere,39.0,12.0,152.0,Dustin Hoffman,Sharon Stone,Samuel L. Jackson,tt0120184,35.0,English,Barry Levinson,"Drama, Mystery, Sci-Fi",6.0,64063.0,1,0,0,4
The Simpsons Movie,72500000,183135014,2007,7,27,The Simpsons Movie,77.0,90.0,86.0,Dan Castellaneta,Julie Kavner,Yeardley Smith,tt0462538,80.0,English,David Silverman,"Animation, Adventure, Comedy",7.4,203625.0,1,0,0,4
Fool's Gold,72500000,70231041,2008,2,8,Fool's Gold,48.0,11.0,112.0,Matthew McConaughey,Kate Hudson,Donald Sutherland,tt0770752,29.0,English,Andy Tennant,"Adventure, Comedy, Romance",5.6,44550.0,1,0,0,4
Funny People,72500000,51855045,2009,7,31,Funny People,48.0,68.0,146.0,Adam Sandler,Seth Rogen,Leslie Mann,tt1201167,60.0,English,Judd Apatow,"Comedy, Drama",6.4,86754.0,0,1,0,4
The Kingdom,72500000,47467250,2007,9,28,Indiana Jones and the Kingdom of the Crystal Skull,54.0,78.0,122.0,Harrison Ford,Cate Blanchett,Karen Allen,tt0367882,65.0,"English, German, Russian",Steven Spielberg,"Action, Adventure",6.3,252457.0,1,0,0,4
Braveheart,72000000,75545647,1995,5,24,Braveheart,85.0,78.0,177.0,Mel Gibson,Sophie Marceau,Patrick McGoohan,tt0112573,68.0,"English, French, Latin, Scottish Gaelic",Mel Gibson,"Action, Biography, Drama",8.4,518035.0,0,1,0,2
Jarhead,72000000,62647540,2005,11,4,Jarhead,68.0,61.0,122.0,Jake Gyllenhaal,Peter Sarsgaard,Lucas Black,tt0418763,58.0,"English, Spanish, Arabic, Latin",Sam Mendes,"Biography, Drama, War",7.1,114674.0,0,1,0,4
Driven,72000000,32616869,2001,4,27,Driven,34.0,14.0,117.0,Sylvester Stallone,Burt Reynolds,Kip Pardue,tt0132245,29.0,"English, German, Spanish",Renny Harlin,"Action, Drama, Sport",4.4,30076.0,1,0,0,4
The Majestic,72000000,27796042,2001,12,21,The Majestic,61.0,42.0,150.0,Jim Carrey,Bob Balaban,Martin Landau,tt0268995,27.0,English,Frank Darabont,Drama,6.9,38035.0,1,0,0,4
Two Brothers,72000000,19176754,2004,6,25,Two Brothers,76.0,78.0,104.0,Guy Pearce,Jean-Claude Dreyfus,Freddie Highmore,tt0338512,63.0,"English, Thai, French",Jean-Jacques Annaud,"Adventure, Drama, Family",7.1,9472.0,1,0,0,4
The Village,71682975,114197520,2004,7,30,The Village,57.0,43.0,109.0,Joaquin Phoenix,Bryce Dallas Howard,Adrien Brody,tt0368447,44.0,English,M. Night Shyamalan,"Drama, Mystery, Thriller",6.5,154992.0,1,0,0,4
Signs,70702619,227965690,2002,8,2,Signs,67.0,74.0,106.0,Mel Gibson,Joaquin Phoenix,Cherry Jones,tt0286106,59.0,"English, Portuguese",M. Night Shyamalan,"Drama, Sci-Fi, Thriller",6.7,219768.0,1,0,0,4
Shrek 2,70000000,441226247,2004,5,19,Shrek 2,69.0,89.0,93.0,Mike Myers,Eddie Murphy,Cameron Diaz,tt0298148,75.0,English,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animation, Adventure, Comedy",7.3,224043.0,1,0,0,2
Cars,70000000,244082982,2006,6,9,Cars,80.0,74.0,116.0,Owen Wilson,Paul Newman,Bonnie Hunt,tt0317219,73.0,"English, Italian, Japanese, Yiddish","John Lasseter, Joe Ranft","Animation, Adventure, Comedy",7.3,166680.0,1,0,0,4
Alvin and the Chipmunks: The Squeakquel,70000000,219614612,2009,12,23,Alvin and the Chipmunks: The Squeakquel,50.0,21.0,88.0,Zachary Levi,David Cross,Jason Lee,tt1231580,41.0,"English, French",Betty Thomas,"Animation, Comedy, Family",4.4,22157.0,1,0,1,2
Who Framed Roger Rabbit?,70000000,154112492,1988,6,22,Who Framed Roger Rabbit,84.0,98.0,104.0,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,tt0096438,83.0,English,Robert Zemeckis,"Animation, Comedy, Crime",7.7,104811.0,1,0,0,2
Runaway Bride,70000000,152257509,1999,7,30,Runaway Bride,53.0,46.0,109.0,Julia Roberts,Richard Gere,Joan Cusack,tt0163187,39.0,English,Garry Marshall,"Comedy, Romance",5.4,57845.0,1,0,0,4
xXx,70000000,141930000,2002,8,9,XXX,59.0,48.0,84.0,Vin Diesel,Asia Argento,Marton Csokas,tt0295701,48.0,"English, German, Spanish, Russian, Czech",Rob L. Cohen,"Action, Thriller",5.8,115871.0,1,0,0,4
Ransom,70000000,136492681,1996,11,8,Ransom,62.0,75.0,120.0,Mel Gibson,Rene Russo,Gary Sinise,tt0117438,60.0,English,Ron Howard,"Crime, Thriller",6.6,80294.0,0,1,0,4
Inglourious Basterds,70000000,120831050,2009,8,20,Inglourious Basterds,87.0,89.0,153.0,Brad Pitt,Melanie Laurent,Christoph Waltz,tt0361748,69.0,"English, German, French, Italian","Quentin Tarantino, Eli Roth","Adventure, Drama, War",8.3,545817.0,0,1,0,3
Hook,70000000,119654823,1991,12,11,Hook,76.0,31.0,136.0,Robin Williams,Dustin Hoffman,Julia Roberts,tt0102057,52.0,English,Steven Spielberg,"Adventure, Comedy, Family",6.6,135722.0,1,0,0,2
Die Hard 2,70000000,117323878,1990,7,3,Die Hard 2,70.0,66.0,124.0,Bruce Willis,Bonnie Bedelia,Bill Sadler,tt0099423,67.0,"English, Spanish",Renny Harlin,"Action, Thriller",7.1,202950.0,0,1,1,1
S.W.A.T.,70000000,116877597,2003,8,8,S.W.A.T.,53.0,48.0,117.0,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez,tt0257076,45.0,"English, Spanish, French",Clark Johnson,"Action, Crime, Thriller",6.0,99420.0,1,0,0,4
Sleepy Hollow,70000000,101068340,1999,11,19,Sleepy Hollow,81.0,67.0,105.0,Johnny Depp,Christina Ricci,Miranda Richardson,tt0162661,65.0,"English, Latin",Tim Burton,"Drama, Mystery",7.5,208931.0,0,1,0,4
Vanilla Sky,70000000,100614858,2001,12,14,Vanilla Sky,73.0,40.0,136.0,Tom Cruise,Penelope Cruz,Cameron Diaz,tt0259711,45.0,"English, Spanish",Cameron Crowe,"Fantasy, Mystery, Romance",6.9,167379.0,0,1,0,4
Olympus Has Fallen,70000000,98927592,2013,3,22,Olympus Has Fallen,68.0,48.0,119.0,Gerard Butler,Aaron Eckhart,Morgan Freeman,tt2302755,41.0,"English, Korean",Antoine Fuqua,"Action, Thriller",6.5,128015.0,0,1,0,4
Battle: Los Angeles,70000000,83552429,2011,3,11,Battle: Los Angeles,48.0,35.0,116.0,Aaron Eckhart,Ramon Rodriguez,Will Rothhaar,tt1217613,37.0,English,Jonathan Liebesman,"Action, Adventure, Drama",5.8,129981.0,1,0,0,4
AVP: Alien Vs. Predator,70000000,80281096,2004,8,13,AVP - Alien Vs. Predator,39.0,21.0,87.0,Sanaa Lathan,Raoul Bova,Lance Henriksen,tt0370263,29.0,"English, Italian",Paul W.S. Anderson,"Action, Adventure, Sci-Fi",5.5,110703.0,1,0,0,4
War Horse,70000000,79883359,2011,12,25,War Horse,74.0,77.0,146.0,Jeremy Irvine,Peter Mullan,Emily Watson,tt1568911,72.0,"English, German",Steven Spielberg,"Drama, War",7.3,86354.0,1,0,1,6
We Were Soldiers,70000000,78120196,2002,3,1,We Were Soldiers,84.0,63.0,139.0,Mel Gibson,Madeleine Stowe,Greg Kinnear,tt0277434,65.0,"English, Vietnamese, French",Randall Wallace,"Action, Drama, History",7.1,77418.0,0,1,0,4
Star Trek: Insurrection,70000000,70187658,1998,12,11,Star Trek - Insurrection,45.0,55.0,102.0,Patrick Stewart,Jonathan Frakes,Brent Spiner,tt0120844,64.0,English,Jonathan Frakes,"Action, Adventure, Sci-Fi",6.4,46182.0,1,0,0,4
Big Fish,70000000,66432867,2003,12,10,Big Fish,90.0,77.0,125.0,Ewan McGregor,Albert Finney,Billy Crudup,tt0319061,58.0,English,Tim Burton,"Adventure, Drama, Fantasy",8.0,293570.0,1,0,0,2
Underworld: Awakening,70000000,62321039,2012,1,20,Underworld Awakening,62.0,26.0,88.0,Kate Beckinsale,Stephen Rea,Michael Ealy,tt1496025,39.0,"English, Russian","Måns Mårlind, Björn Stein","Action, Fantasy, Horror",6.4,85838.0,0,1,0,4
The Abyss,70000000,54243125,1989,8,9,The Abyss,83.0,88.0,140.0,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,tt0096754,62.0,English,James Cameron,"Adventure, Drama, Sci-Fi",7.6,105616.0,1,0,0,2
The Dilemma,70000000,48475290,2011,1,14,The Dilemma,29.0,24.0,110.0,Vince Vaughn,Kevin James,Jennifer Connelly,tt1578275,46.0,English,Ron Howard,"Comedy, Drama",5.3,36006.0,1,0,0,4
The Siege,70000000,40934175,1998,11,6,The Siege,54.0,45.0,120.0,Denzel Washington,Annette Bening,Bruce Willis,tt0133952,53.0,"English, Arabic, Spanish",Edward Zwick,"Action, Crime, Drama",6.3,47710.0,0,1,0,4
Stardust,70000000,38634938,2007,8,10,Stardust,86.0,76.0,127.0,Claire Danes,Michelle Pfeiffer,Robert De Niro,tt0486655,66.0,English,Matthew Vaughn,"Adventure, Family, Fantasy",7.8,171655.0,1,0,0,4
Rock of Ages,70000000,38518613,2012,6,15,Rock of Ages,55.0,41.0,123.0,Julianne Hough,Diego Boneta,Russell Brand,tt1336608,47.0,English,Adam Shankman,"Comedy, Drama, Musical",5.9,47613.0,1,0,0,4
Seven Years in Tibet,70000000,37945884,1997,10,8,Seven Years in Tibet,74.0,61.0,134.0,Brad Pitt,David Thewlis,B.D. Wong,tt0120102,55.0,"English, German, Mandarin, Tibetan, Hindi",Jean-Jacques Annaud,"Adventure, Biography, Drama",7.0,73414.0,1,0,0,2
Sky Captain and the World of Tomorrow,70000000,37760080,2004,9,17,Sky Captain and the World of Tomorrow,46.0,72.0,107.0,Gwyneth Paltrow,Jude Law,Angelina Jolie,tt0346156,64.0,"English, Tibetan, German",Kerry Conran,"Action, Adventure, Mystery",6.1,63727.0,1,0,0,4
Bad Company,70000000,30157016,2002,6,7,Bad Company,36.0,10.0,116.0,Anthony Hopkins,Chris Rock,Matthew Marsh,tt0280486,37.0,English,Joel Schumacher,"Action, Adventure, Comedy",5.6,34331.0,1,0,0,4
Doom,70000000,28212337,2005,10,21,Doom,34.0,19.0,104.0,Karl Urban,Rosamund Pike,Razaaq Adoti,tt0419706,34.0,"English, Japanese",Andrzej Bartkowiak,"Action, Adventure, Horror",5.2,72764.0,0,1,0,4
Escape Plan,70000000,25213103,2013,10,18,Escape Plan,58.0,49.0,115.0,Sylvester Stallone,Arnold Schwarzenegger,Jim Caviezel,tt1211956,49.0,"English, German, Arabic, Urdu",Mikael Håfström,"Action, Mystery, Thriller",6.9,54075.0,0,1,0,4
Killer Elite,70000000,25124986,2011,9,23,Killer Elite,43.0,25.0,117.0,Jason Statham,Clive Owen,Robert De Niro,tt1448755,44.0,"English, Arabic, French, Spanish",Gary McKendry,"Action, Crime, Thriller",6.5,82140.0,0,1,0,4
Hard Rain,70000000,19870567,1998,1,16,Hard Rain,34.0,25.0,96.0,Morgan Freeman,Christian Slater,Randy Quaid,tt0120696,36.0,English,Mikael Salomon,"Action, Crime, Thriller",5.8,22937.0,0,1,0,4
Hart's War,70000000,19076815,2002,2,15,Hart's War,48.0,60.0,128.0,Bruce Willis,Colin Farrell,Vicellous Reon Shannon,tt0251114,49.0,"English, German",Gregory Hoblit,"Drama, War",6.3,37130.0,0,1,0,4
Rollerball,70000000,18990542,2002,2,8,Rollerball,14.0,3.0,98.0,Chris Klein,Jean Reno,LL Cool J,tt0246894,14.0,"English, Russian, French, Arabic, Korean, German, Japanese",John McTiernan,"Action, Sci-Fi, Sport",2.9,19635.0,1,0,0,4
The Legend of Hercules,70000000,18155807,2014,1,10,The Legend of Hercules,42.0,3.0,99.0,Kellan Lutz,Liam McIntyre,Scott Adkins,tt1043726,22.0,English,Renny Harlin,"Action, Adventure",4.2,5235.0,1,0,0,4
Ballistic: Ecks vs. Sever,70000000,14294842,2002,9,20,Ballistic: Ecks vs. Sever,17.0,0.0,91.0,Antonio Banderas,Lucy Liu,Gregg Henry,tt0308208,19.0,English,Wych Kaosayananda,"Action, Thriller",3.6,15278.0,0,1,0,4
Osmosis Jones,70000000,13596911,2001,8,10,Osmosis Jones,41.0,55.0,95.0,Bill Murray,Molly Shannon,Chris Elliott,tt0181739,57.0,English,"Bobby Farrelly, Peter Farrelly","Animation, Action, Adventure",6.2,19879.0,1,0,0,4
The Monuments Men,70000000,7000000,2014,2,7,The Monuments Men,51.0,34.0,112.0,George Clooney,Matt Damon,Bill Murray,tt2177771,52.0,"English, German, Russian, French",George Clooney,"Action, Biography, Drama",6.4,13192.0,1,0,0,4
Basic Instinct 2,70000000,5946136,2006,3,31,Basic Instinct 2,26.0,7.0,117.0,Sharon Stone,David Morrissey,David Thewlis,tt0430912,26.0,English,Michael Caton-Jones,"Crime, Mystery, Thriller",4.1,25831.0,0,1,0,4
Despicable Me,69000000,251513985,2010,7,9,Despicable Me,82.0,81.0,95.0,Steve Carell,Jason Segel,Russell Brand,tt1323594,72.0,English,"Pierre Coffin, Chris Renaud","Animation, Comedy, Crime",7.7,235574.0,1,0,0,4
Dinner for Schmucks,69000000,73026337,2010,7,30,Dinner for Schmucks,43.0,42.0,114.0,Steve Carell,Paul Rudd,Zach Galifianakis,tt0427152,56.0,English,Jay Roach,Comedy,5.9,64429.0,1,0,0,4
The Twilight Saga: Eclipse,68000000,300531751,2010,6,30,The Twilight Saga: Eclipse,60.0,49.0,124.0,Kristen Stewart,Robert Pattinson,Taylor Lautner,tt1325004,58.0,English,David Slade,"Adventure, Drama, Fantasy",4.9,142482.0,1,0,0,2
The Sum of All Fears,68000000,118471320,2002,5,31,The Sum of All Fears,50.0,59.0,118.0,Ben Affleck,Morgan Freeman,James Cromwell,tt0164184,45.0,"English, Russian, Ukrainian, German, Arabic",Phil Alden Robinson,"Action, Drama, Thriller",6.4,71911.0,1,0,1,4
The Score,68000000,71069884,2001,7,13,The Score,67.0,73.0,123.0,Robert De Niro,Edward Norton,Marlon Brando,tt0227445,71.0,"English, French",Frank Oz,"Action, Crime, Thriller",6.8,85175.0,0,1,0,4
Dreamcatcher,68000000,33685268,2003,3,21,Dreamcatcher,36.0,30.0,134.0,Morgan Freeman,Thomas Jane,Jason Lee,tt0285531,35.0,English,Lawrence Kasdan,"Drama, Horror, Sci-Fi",5.5,62818.0,0,1,0,4
Mystery Men,68000000,29762011,1999,8,6,Mystery Men,58.0,60.0,121.0,Ben Stiller,Hank Azaria,William H. Macy,tt0132347,65.0,English,Kinka Usher,"Action, Comedy, Fantasy",6.0,46762.0,1,0,0,4
The Insider,68000000,28965197,1999,11,5,The Insider,91.0,96.0,157.0,Al Pacino,Russell Crowe,Christopher Plummer,tt0140352,84.0,"English, Japanese, Arabic, Persian",Michael Mann,"Biography, Drama, Thriller",7.9,111498.0,0,1,0,4
Body of Lies,67500000,39394666,2008,10,10,Body of Lies,62.0,54.0,128.0,Leonardo DiCaprio,Russell Crowe,Mark Strong,tt0758774,57.0,"English, Arabic",Ridley Scott,"Action, Drama, Thriller",7.1,135769.0,0,1,0,4
Abraham Lincoln: Vampire Hunter,67500000,37519139,2012,6,22,Abraham Lincoln: Vampire Hunter,51.0,35.0,105.0,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,tt1611224,42.0,English,Timur Bekmambetov,"Action, Fantasy, Horror",6.0,98866.0,0,1,0,4
That's My Boy,67500000,36931089,2012,6,15,That's My Boy,53.0,20.0,116.0,Adam Sandler,Andy Samberg,Leighton Meester,tt1232200,31.0,English,Sean Anders,Comedy,5.6,50456.0,0,1,0,4
The Last Legion,67000000,5932060,2007,8,17,The Last Legion,34.0,16.0,101.0,Colin Firth,Ben Kingsley,Aishwarya Rai,tt0462396,37.0,English,Doug Lefler,"Action, Adventure, Fantasy",5.4,23537.0,1,0,0,4
Entrapment,66000000,87707396,1999,4,30,Entrapment,51.0,38.0,113.0,Sean Connery,Catherine Zeta-Jones,Ving Rhames,tt0137494,54.0,English,Jon Amiel,"Action, Crime, Romance",6.2,70632.0,1,0,0,4
Saving Private Ryan,65000000,216335085,1998,7,24,Saving Private Ryan,95.0,92.0,169.0,Tom Hanks,Edward Burns,Tom Sizemore,tt0120815,90.0,"English, French, German, Czech",Steven Spielberg,"Action, Drama, War",8.6,587317.0,0,1,0,4
What Women Want,65000000,182805123,2000,12,15,What Women Want,54.0,54.0,127.0,Mel Gibson,Helen Hunt,Marisa Tomei,tt0207201,47.0,"English, French",Nancy Meyers,"Comedy, Fantasy, Romance",6.4,125557.0,1,0,0,4
Lincoln,65000000,182207973,2012,11,9,Lincoln,81.0,90.0,149.0,Daniel Day-Lewis,Sally Field,David Strathairn,tt0443272,86.0,English,Steven Spielberg,"Biography, Drama, History",7.5,142923.0,1,0,1,4
Ice Age,65000000,176387405,2002,3,15,Ice Age,82.0,77.0,80.0,Ray Romano,John Leguizamo,Denis Leary,tt0268380,60.0,"English, Croatian","Chris Wedge, Carlos Saldanha","Animation, Adventure, Comedy",7.6,228495.0,1,0,0,4
Apollo 13,65000000,172070496,1995,6,30,Apollo 13,86.0,95.0,140.0,Tom Hanks,Bill Paxton,Kevin Bacon,tt0112384,77.0,English,Ron Howard,"Adventure, Drama, History",7.6,163151.0,1,0,0,4
The Matrix,65000000,171479930,1999,3,31,The Matrix,85.0,87.0,136.0,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,tt0133093,73.0,English,"Andy Wachowski, Lana Wachowski","Action, Adventure, Sci-Fi",8.7,824103.0,0,1,0,2
Les Miserables,65000000,148809770,2012,12,25,Les Miserables,79.0,70.0,158.0,Hugh Jackman,Russell Crowe,Anne Hathaway,tt1707386,63.0,English,Tom Hooper,"Drama, Musical, Romance",7.7,172421.0,1,0,1,1
The Santa Clause 2,65000000,139225854,2002,11,1,The Santa Clause 2 - The Mrs. Clause,42.0,55.0,104.0,Tim Allen,Elizabeth Mitchell,David Krumholtz,tt0304669,48.0,English,Michael Lembeck,"Comedy, Family, Fantasy",5.5,24857.0,1,0,0,4
Total Recall,65000000,119394839,1990,6,1,Total Recall,77.0,84.0,113.0,Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,tt0100802,57.0,English,Paul Verhoeven,"Action, Adventure, Sci-Fi",7.5,184189.0,0,1,0,4
You've Got Mail,65000000,115821495,1998,12,18,You've Got Mail,73.0,69.0,119.0,Tom Hanks,Meg Ryan,Parker Posey,tt0128853,57.0,English,Nora Ephron,"Comedy, Drama, Romance",6.5,117227.0,1,0,0,4
Due Date,65000000,100539043,2010,11,5,Due Date,52.0,40.0,100.0,Robert Downey Jr.,Zach Galifianakis,Jamie Foxx,tt1231583,51.0,"English, Spanish",Todd Phillips,"Comedy, Drama",6.6,212905.0,0,1,0,4
Step Brothers,65000000,100468793,2008,7,25,Step Brothers,68.0,55.0,98.0,Will Ferrell,John C. Reilly,Mary Steenburgen,tt0838283,51.0,"English, Spanish",Adam McKay,Comedy,6.8,157115.0,0,1,0,4
Jumanji,65000000,100458310,1995,12,15,Jumanji,61.0,50.0,104.0,Robin Williams,Bonnie Hunt,Kirsten Dunst,tt0113497,39.0,"English, French",Joe Johnston,"Adventure, Family, Fantasy",6.7,133399.0,1,0,0,4
The Mask of Zorro,65000000,93828745,1998,7,17,The Mask of Zorro,72.0,83.0,136.0,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,tt0120746,63.0,English,Martin Campbell,"Action, Adventure, Comedy",6.7,106497.0,1,0,0,4
Space Cowboys,65000000,90454043,2000,8,4,Space Cowboys,52.0,78.0,135.0,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,tt0186566,73.0,English,Clint Eastwood,"Action, Adventure, Thriller",6.4,49180.0,1,0,0,4
Cliffhanger,65000000,84049211,1993,5,28,Cliffhanger,51.0,69.0,113.0,Sylvester Stallone,John Lithgow,Michael Rooker,tt0106582,60.0,English,Renny Harlin,"Action, Adventure, Thriller",6.3,74959.0,0,1,0,4
Broken Arrow,65000000,70645997,1996,2,9,Broken Arrow,45.0,53.0,110.0,John Travolta,Christian Slater,Samantha Mathis,tt0115759,61.0,English,John Woo,"Action, Adventure, Thriller",5.9,65688.0,0,1,0,4
World Trade Center,65000000,70278893,2006,8,9,World Trade Center,60.0,68.0,129.0,Nicolas Cage,Michael Pena,Maggie Gyllenhaal,tt0469641,66.0,English,Oliver Stone,"Drama, History, Thriller",6.0,58410.0,1,0,0,2
The Kid,65000000,69688384,2000,7,7,The Kid,49.0,49.0,90.0,Edward Asner,Lolita Davidovich,Eugene Levy,tt0219854,45.0,English,Jon Turteltaub,"Comedy, Family, Fantasy",6.0,29337.0,1,0,0,4
Mona Lisa Smile,65000000,63803100,2003,12,19,Mona Lisa Smile,61.0,35.0,107.0,Julia Roberts,Kirsten Dunst,Julia Stiles,tt0304415,45.0,"English, Italian",Mike Newell,Drama,6.3,49144.0,1,0,0,4
The Dictator,65000000,59650222,2012,5,16,The Dictator,45.0,57.0,83.0,Sacha Baron Cohen,Anna Faris,Ben Kingsley,tt1645170,58.0,"English, Hebrew",Larry Charles,Comedy,6.4,155235.0,0,1,0,2
Eyes Wide Shut,65000000,55691208,1999,7,16,Eyes Wide Shut,73.0,77.0,165.0,Tom Cruise,Nicole Kidman,Sydney Pollack,tt0120663,68.0,English,Stanley Kubrick,"Drama, Mystery, Thriller",7.3,177926.0,0,1,0,4
Blade: Trinity,65000000,52397389,2004,12,8,Blade: Trinity,60.0,26.0,113.0,Wesley Snipes,Kris Kristofferson,Jessica Biel,tt0359013,38.0,"English, Esperanto",David S. Goyer,"Action, Adventure, Fantasy",5.9,98803.0,0,1,0,2
We Are Marshall,65000000,43545364,2006,12,22,We Are Marshall,80.0,49.0,131.0,Matthew McConaughey,Matthew Fox,Anthony Mackie,tt0758794,53.0,English,McG,"Drama, Sport",7.1,34228.0,1,0,0,4
Primary Colors,65000000,39017984,1998,3,20,Primary Colors,64.0,80.0,143.0,John Travolta,Emma Thompson,Billy Bob Thornton,tt0119942,70.0,English,Mike Nichols,"Comedy, Drama",6.7,21616.0,0,1,0,4
Fight Club,65000000,37030102,1999,10,15,Fight Club,96.0,81.0,139.0,Edward Norton,Brad Pitt,Helena Bonham Carter,tt0137523,66.0,English,David Fincher,Drama,8.9,888238.0,0,1,0,4
Death Race,65000000,36316032,2008,8,22,Death Race,62.0,43.0,105.0,Jason Statham,Tyrese Gibson,Ian McShane,tt0452608,43.0,English,Paul W.S. Anderson,"Action, Sci-Fi, Thriller",6.4,130903.0,0,1,0,4
The Long Kiss Goodnight,65000000,33447612,1996,10,11,The Long Kiss Goodnight,71.0,67.0,120.0,Geena Davis,Samuel L. Jackson,Patrick Malahide,tt0116908,44.0,English,Renny Harlin,"Action, Crime, Drama",6.7,50147.0,0,1,0,4
Proof of Life,65000000,32598931,2000,12,8,Proof of Life,44.0,40.0,136.0,Meg Ryan,Russell Crowe,David Morse,tt0228750,45.0,"English, Spanish, Russian, Italian, French",Taylor Hackford,"Action, Drama, Thriller",6.2,43537.0,0,1,0,4
Zathura,65000000,28045540,2005,11,11,Zathura,50.0,75.0,113.0,Jonah Bobo,Josh Hutcherson,Dax Shepard,tt0406375,67.0,English,Jon Favreau,"Action, Adventure, Comedy",6.1,47250.0,1,0,1,4
